date,value
27/02/2023,13.75
26/02/2023,13.75
25/02/2023,13.75
24/02/2023,13.75
23/02/2023,13.75
22/02/2023,13.75
21/02/2023,13.75
20/02/2023,13.75
19/02/2023,13.75
18/02/2023,13.75
17/02/2023,13.75
16/02/2023,13.75
15/02/2023,13.75
14/02/2023,13.75
13/02/2023,13.75
12/02/2023,13.75
11/02/2023,13.75
10/02/2023,13.75
09/02/2023,13.75
08/02/2023,13.75
07/02/2023,13.75
06/02/2023,13.75
05/02/2023,13.75
04/02/2023,13.75
03/02/2023,13.75
02/02/2023,13.75
01/02/2023,13.75
31/01/2023,13.75
30/01/2023,13.75
29/01/2023,13.75
28/01/2023,13.75
27/01/2023,13.75
26/01/2023,13.75
25/01/2023,13.75
24/01/2023,13.75
23/01/2023,13.75
22/01/2023,13.75
21/01/2023,13.75
20/01/2023,13.75
19/01/2023,13.75
18/01/2023,13.75
17/01/2023,13.75
16/01/2023,13.75
15/01/2023,13.75
14/01/2023,13.75
13/01/2023,13.75
12/01/2023,13.75
11/01/2023,13.75
10/01/2023,13.75
09/01/2023,13.75
08/01/2023,13.75
07/01/2023,13.75
06/01/2023,13.75
05/01/2023,13.75
04/01/2023,13.75
03/01/2023,13.75
02/01/2023,13.75
01/01/2023,13.75
31/12/2022,13.75
30/12/2022,13.75
29/12/2022,13.75
28/12/2022,13.75
27/12/2022,13.75
26/12/2022,13.75
25/12/2022,13.75
24/12/2022,13.75
23/12/2022,13.75
22/12/2022,13.75
21/12/2022,13.75
20/12/2022,13.75
19/12/2022,13.75
18/12/2022,13.75
17/12/2022,13.75
16/12/2022,13.75
15/12/2022,13.75
14/12/2022,13.75
13/12/2022,13.75
12/12/2022,13.75
11/12/2022,13.75
10/12/2022,13.75
09/12/2022,13.75
08/12/2022,13.75
07/12/2022,13.75
06/12/2022,13.75
05/12/2022,13.75
04/12/2022,13.75
03/12/2022,13.75
02/12/2022,13.75
01/12/2022,13.75
30/11/2022,13.75
29/11/2022,13.75
28/11/2022,13.75
27/11/2022,13.75
26/11/2022,13.75
25/11/2022,13.75
24/11/2022,13.75
23/11/2022,13.75
22/11/2022,13.75
21/11/2022,13.75
20/11/2022,13.75
19/11/2022,13.75
18/11/2022,13.75
17/11/2022,13.75
16/11/2022,13.75
15/11/2022,13.75
